Abhi,Akash,Nats,Naati,Prateek
380,0,380,0,380
0,400,400,0,0
0,420,400,0,400
0,0,450,450,0
0,400,420,400,0
0,410,0,430,410
430,430,0,450,0
0,400,0,0,400
0,420,0,440,420
0,390,390,0,390
0,390,410,0,390
0,420,440,420,0
0,420,420,0,0
0,440,460,440,0
440,420,0,0,420
0,410,0,390,390
410,0,0,410,0
0,0,0,390,390
0,430,0,430,0
430,430,0,0,430
410,0,0,410,430
530,550,0,0,530
500,500,0,0,500
