Bidder,Nats,Akash,Prateek,Discard,Margin
Nats,220,0,200,20,15
Nats,0,0,220,25,30
Akash,0,220,200,30,10
Akash,200,0,0,25,50
Prateek,230,230,0,30,100
Akash,0,0,210,30,60
Prateek,0,200,0,75,15
Akash,200,220,0,20,20
Nats,0,195,195,100,30
Nats,0,195,0,50,30
Nats,0,195,195,20,100
Akash,0,270,250,10,0
Akash,200,220,0,30,10
Nats,215,0,195,35,15
Akash,195,215,0,20,10
Prateek,0,200,0,20,75
Nats,270,250,0,30,0
Prateek,0,200,0,25,30
Prateek,250,0,270,20,0
Akash,0,0,195,15,55
Nats,215,0,195,20,10
Nats,0,195,0,30,30
Prateek,0,200,220,30,20
Prateek,0,200,220,15,10
Prateek,0,200,0,10,45
Nats,280,0,260,30,0
Akash,200,0,0,10,50
Akash,200,0,200,40,100
Akash,195,215,0,25,20
Nats,290,0,270,20,0
Nats,0,210,0,25,30
Nats,230,0,210,20,15
Akash,0,220,200,15,15
Prateek,200,0,220,15,30
Prateek,0,200,220,40,10
Prateek,195,0,0,20,55
Akash,0,270,250,10,0
Prateek,200,0,0,15,165
Akash,200,220,0,0,25
Akash,0,220,200,25,20
Prateek,210,0,0,45,35
Nats,0,195,195,30,125
Nats,0,0,200,40,45
Akash,0,0,195,30,60
Prateek,0,220,0,20,55
Nats,0,210,210,30,120
Akash,195,215,0,20,20
Akash,200,220,0,10,35
Akash,0,0,200,25,25
Akash,0,0,200,30,50
Prateek,0,200,0,35,60
Nats,0,210,0,55,0
Nats,0,200,0,20,35
Nats,215,0,195,15,30
Akash,195,0,0,40,30
Prateek,0,200,220,10,40
Nats,0,0,190,5,60
Nats,220,200,0,10,40
Akash,0,215,195,35,15
Nats,0,0,230,20,20
Akash,0,215,195,20,10
Prateek,195,0,0,30,40
Nats,0,195,195,20,75
Akash,270,290,0,20,0
Nats,0,0,195,25,35
Akash,0,0,195,35,60
Nats,0,0,190,30,35
Akash,250,270,0,20,0
Akash,200,220,0,20,30
Akash,195,0,195,10,155
Prateek,0,220,0,35,35
Prateek,0,220,0,15,35
Nats,230,210,0,30,10
Prateek,200,0,220,10,10
Prateek,0,270,290,0,0
Nats,280,260,0,40,0
Prateek,200,0,0,30,25
Prateek,0,200,0,20,65
Prateek,0,195,0,20,55
Nats,0,200,0,30,75
Nats,0,190,190,40,155
Akash,0,0,210,50,10
