Bidder,Nats,Akash,Prateek,Discard,Margin
Nats,0,210,0,35,30
Prateek,260,0,280,20,0
Prateek,210,0,0,25,30
Nats,230,210,0,0,10
Nats,215,195,0,35,10
Nats,0,195,0,30,55
Prateek,0,200,220,10,35
Prateek,210,0,0,35,15
Prateek,0,250,270,30,0
Akash,200,220,0,15,30
Akash,0,270,250,5,0
Akash,200,0,200,50,120
Akash,200,0,0,15,40
Akash,195,0,195,15,85
Prateek,210,210,0,15,165
Akash,200,0,0,20,50
Akash,0,0,200,10,90
Nats,230,0,210,30,10
Prateek,0,200,220,25,15
Prateek,0,200,0,0,55
Prateek,0,250,270,10,0
Akash,0,0,200,50,100
Prateek,200,0,0,30,25
Prateek,0,210,0,30,25
Akash,0,0,200,30,25
Prateek,200,0,220,20,10
Akash,0,0,210,20,40
Prateek,200,0,220,5,20
Prateek,0,200,0,40,55
Akash,0,0,210,20,25
Prateek,200,0,220,30,10
Akash,220,0,0,50,0
Akash,0,220,200,20,20
Akash,0,290,270,15,0
Nats,270,250,0,15,0
Prateek,0,200,0,20,100
Prateek,0,260,280,20,0
Akash,0,280,260,25,0
Prateek,0,200,0,45,100
Prateek,210,210,0,20,185
Prateek,220,0,0,30,10
Prateek,0,200,0,30,55
Nats,0,195,0,25,70
Nats,0,0,195,30,40
Akash,260,280,0,25,0
Prateek,200,0,0,40,50
Prateek,0,250,270,10,0
Akash,0,200,0,35,45
Akash,200,0,0,10,80
Nats,220,0,200,10,10
Nats,215,195,0,10,20
Akash,0,220,200,15,35
Akash,220,0,0,30,70
Nats,0,200,0,30,25
Akash,0,0,220,10,40
Akash,280,300,0,20,0
Prateek,200,0,0,30,50
Prateek,0,210,230,20,15
Prateek,200,0,0,10,60
Akash,0,0,200,35,45
Akash,0,0,210,30,30
Prateek,220,0,0,20,35
Nats,0,200,0,30,45
Prateek,200,0,0,60,15
Akash,195,215,0,40,10
Prateek,250,0,270,10,0
Nats,0,195,0,30,45
Akash,220,0,220,40,95
Prateek,200,0,0,25,40
Prateek,0,260,280,20,0
Prateek,0,200,0,20,55
Prateek,200,200,0,20,105
Nats,0,0,195,20,40
Akash,200,220,0,40,10
Nats,215,195,0,20,20
Prateek,0,200,0,25,80
Prateek,0,200,0,25,45
Prateek,0,220,0,20,35
Nats,0,0,220,20,20
Prateek,200,0,0,15,70
Nats,0,195,0,20,85
Prateek,0,210,0,20,95
Akash,0,0,220,20,20
Akash,0,0,200,30,70
Prateek,200,0,0,35,40
Akash,0,0,200,30,35
Prateek,270,0,290,20,0
Prateek,210,0,0,30,35
Prateek,0,200,0,20,75
Prateek,200,0,0,20,45
Nats,0,0,200,35,35
Prateek,0,220,0,20,65
Nats,0,0,200,50,10
Prateek,0,210,0,45,30
Akash,0,0,195,30,35
Akash,0,0,230,50,10
Prateek,0,250,270,15,0
Nats,220,0,200,10,30
Nats,220,0,200,10,25
Akash,0,0,210,15,50
Prateek,220,0,0,30,35
Nats,0,0,220,40,0
Nats,0,0,200,20,75
Prateek,0,200,0,30,60
Prateek,270,0,290,15,0
Akash,200,0,200,20,135
Prateek,0,200,220,20,5
Prateek,0,200,0,40,80
Nats,220,200,0,25,200
Akash,195,0,0,50,40
Nats,0,0,195,30,40
Prateek,0,210,0,20,60
Nats,0,200,0,0,55
Prateek,220,0,0,25,15
Akash,0,200,0,15,65
Prateek,220,0,0,30,55
Akash,210,0,210,20,60
Prateek,0,210,0,20,70
Prateek,210,0,0,20,40
Prateek,220,0,0,0,40
Akash,0,0,195,25,80
Akash,0,220,200,20,10
Nats,0,0,195,20,45
Prateek,200,0,0,50,30
Prateek,0,210,0,35,20
Akash,0,220,0,35,90
Prateek,0,210,0,30,45
Akash,0,0,210,35,10
Prateek,200,0,0,15,65
Prateek,210,0,0,25,45
Prateek,0,210,0,30,95
Akash,0,0,210,20,60
Prateek,210,210,0,40,110
Akash,200,0,0,35,30
Nats,0,210,0,55,10
Prateek,210,0,230,25,15
Nats,0,195,0,50,40
Akash,250,270,0,20,0
