Bidder,Prateek,Nats,Akash,Discard,Margin
Prateek,195,175,0,20,20
Prateek,0,200,0,60,15
Nats,0,210,190,40,20
Nats,0,210,190,15,45
Prateek,0,180,180,25,105
Nats,190,210,0,20,20
Akash,0,0,210,20,30
Nats,185,0,185,20,160
Akash,180,0,0,30,60
Akash,0,185,205,55,10
Prateek,210,190,0,30,20
Akash,180,0,200,20,10
Prateek,0,0,190,0,70
Akash,0,195,215,15,30
Akash,195,195,0,15,150
Nats,0,205,185,10,35
Nats,0,210,0,25,35
Prateek,260,240,0,20,0
Nats,0,260,240,10,0
Nats,190,210,0,20,15
Nats,0,0,195,25,65
Akash,0,190,210,30,20
Nats,0,210,190,30,15
Nats,190,0,0,10,65
Akash,0,175,195,35,30
Nats,250,270,0,20,0
Akash,185,0,205,25,20
Prateek,210,190,0,35,20
Akash,185,0,205,40,15
Akash,185,185,0,30,105
Prateek,205,0,185,10,45
Nats,0,205,185,20,25
Prateek,0,200,0,40,20
Nats,190,0,0,25,40
Nats,270,290,0,20,0
Akash,195,0,0,40,35
Nats,0,210,190,15,30
Nats,0,0,195,20,40
Akash,185,0,205,40,10
