Bidder,Prateek,Nats,Abhi,Akash,Margin
Abhi,200,0,220,0,50
Prateek,215,0,0,195,50
Abhi,0,0,230,210,20
Prateek,270,0,250,0,0
Akash,210,210,0,0,60
Prateek,220,0,0,200,30
Abhi,0,230,250,0,20
Nats,0,0,195,195,80
Akash,0,280,0,300,0
Abhi,0,200,0,200,75
Nats,0,0,200,200,60
Nats,195,0,0,195,130
Prateek,0,210,210,0,80
Prateek,0,195,195,0,65
Prateek,0,0,200,200,60
Abhi,0,200,0,200,85
Abhi,210,210,0,0,45
Abhi,195,0,0,195,70
Akash,0,0,200,220,10
Akash,200,200,0,0,60
Prateek,270,250,0,0,0
Prateek,0,195,195,0,90
Akash,195,195,0,0,60
Abhi,0,200,220,0,25
Abhi,0,0,220,200,20
Abhi,300,0,320,0,0
Prateek,0,200,200,0,60
Nats,280,300,0,0,0
Prateek,280,260,0,0,0
Abhi,0,210,0,210,45
Akash,0,210,0,230,30
Nats,195,215,0,0,35
Prateek,280,0,0,260,0
Akash,200,0,200,0,55
Prateek,220,0,0,200,45
Abhi,0,0,220,200,50
Akash,200,200,0,0,70
Akash,0,0,300,320,0
Akash,220,220,0,0,50
Prateek,220,0,200,0,20
Akash,195,195,0,0,60
Nats,195,0,0,195,125
Akash,0,250,0,270,0
