Bidder,Skanda,Nats,Akash,Discard,Margin
Nats,0,0,195,20,45
Akash,0,200,0,30,75
Skanda,265,0,245,15,0
Nats,0,0,200,25,65
Akash,200,0,220,5,30
Skanda,0,200,0,55,10
Skanda,0,0,195,30,55
Skanda,0,210,0,30,50
Nats,0,240,220,10,10
Akash,200,200,0,30,130
Skanda,290,0,270,25,0
Skanda,220,0,220,10,10
Nats,210,0,210,60,80
Nats,220,240,0,20,10
Skanda,270,0,250,20,0
Skanda,0,210,0,30,40
Skanda,0,200,0,10,55
Nats,0,290,270,30,0
Akash,0,210,230,10,10
Skanda,0,0,195,20,50
Akash,0,195,0,55,55
Akash,195,195,0,30,70
