Bidder,Nats,Prateek,Akash,Discard,Margin
Prateek,0,0,210,30,30
Akash,200,0,220,25,15
Prateek,0,0,200,40,20
Akash,0,200,220,20,20
Nats,0,0,200,15,65
Akash,210,0,0,30,35
Prateek,0,0,200,30,100
Akash,0,195,215,30,20
Akash,200,0,220,15,0
Nats,0,0,200,35,20
Nats,0,200,0,25,30
Akash,200,0,0,35,30
Akash,200,0,0,20,35
Akash,195,0,215,30,20
Prateek,0,220,200,20,15
Prateek,0,0,200,15,65
Akash,0,195,215,30,10
Nats,0,210,0,30,75
Nats,0,0,195,40,20
Prateek,195,0,195,55,115
Prateek,200,0,0,40,30
Prateek,200,0,200,10,65
Akash,195,0,0,30,110
Nats,0,0,195,15,65
Nats,0,0,200,30,25
Akash,200,200,0,35,80
Nats,0,0,220,20,25
Nats,280,0,260,15,0
Akash,0,195,0,25,100
Nats,0,195,0,35,75
Nats,0,0,195,35,30
Nats,280,0,260,40,0
Nats,220,0,200,30,20
Nats,0,220,220,20,100
Prateek,260,280,0,30,0
Prateek,0,280,260,25,0
Nats,290,0,270,30,0
Nats,0,200,0,40,55
Prateek,210,0,0,25,25
Nats,280,0,260,35,0
Akash,195,0,215,40,10
Nats,220,0,200,15,25
Nats,290,270,0,25,0
Nats,0,200,0,35,20
Akash,210,0,0,20,30
Nats,220,200,0,5,25
Nats,0,0,220,30,50
Akash,210,210,0,10,95
Prateek,200,0,0,25,65
Akash,200,200,0,25,90
Nats,0,200,0,15,70
Nats,0,210,0,20,40
Akash,200,0,220,30,10
Prateek,210,230,0,15,10
Prateek,0,0,210,15,50
Nats,0,200,0,50,35
Nats,0,210,0,50,45
Akash,210,0,0,30,20
Akash,0,200,220,30,10
Nats,0,200,200,30,140
Akash,210,0,230,20,20
Akash,195,0,0,10,55
Nats,0,0,220,35,35
Prateek,220,0,0,25,30
Prateek,200,0,0,30,30
Nats,220,200,0,20,20
Akash,0,200,0,20,35
Prateek,210,0,0,20,35
Prateek,0,0,200,25,105
Nats,280,260,0,10,0
Prateek,210,0,0,30,20
Nats,230,210,0,20,20
Prateek,210,230,0,10,30
Prateek,210,230,0,20,20
Prateek,220,0,0,25,20
Nats,230,210,0,20,20
Akash,0,220,0,25,25
Prateek,210,0,0,35,25
Prateek,0,290,270,30,0
Akash,200,0,220,10,30
Prateek,0,270,250,10,0
Prateek,210,0,210,35,105
Prateek,0,0,220,20,35
Prateek,0,0,210,15,55
Prateek,200,0,0,20,55
Akash,0,200,220,15,10
Nats,0,195,0,35,40
Prateek,0,0,220,20,45
Nats,0,200,0,30,40
Nats,0,220,0,40,0
Nats,230,210,0,10,25
Nats,0,210,0,30,15
Akash,0,270,290,5,0
Nats,0,0,200,20,55
Akash,220,0,0,20,60
Nats,290,270,0,30,0
Akash,200,0,0,20,60
Prateek,0,0,220,15,55
Prateek,220,0,220,50,35
Prateek,200,0,0,5,50
Akash,210,210,0,35,70
Akash,0,270,290,25,0
Prateek,270,290,0,10,0
Akash,220,0,0,20,15
Prateek,0,0,210,40,60
Akash,0,270,290,20,0
Nats,0,195,0,30,60
Prateek,230,0,0,40,0
Akash,210,0,0,40,20
Nats,0,210,210,40,130
Akash,0,220,240,20,10
Nats,230,0,210,10,20
Nats,220,0,200,25,20
Akash,0,210,230,15,10
Prateek,0,220,200,25,20
Prateek,0,0,210,30,25
Nats,220,0,200,15,30
Nats,0,220,0,30,115
Nats,0,210,0,25,20
Prateek,0,0,230,30,0
Nats,0,0,220,30,65
Akash,210,0,0,10,40
Nats,290,270,0,10,0
Nats,0,0,220,10,35
Prateek,0,280,260,10,0
Prateek,210,0,0,40,20
Nats,0,0,195,35,40
Nats,0,0,230,40,0
Prateek,0,230,210,20,10
Akash,0,210,0,10,75
Prateek,0,0,220,40,35
Nats,0,210,0,25,50
Nats,0,210,210,20,140
Akash,0,210,0,25,50
Akash,210,210,0,25,85
Akash,210,0,0,55,10
Prateek,0,280,260,30,0
Akash,200,0,220,20,10
Akash,0,210,0,20,80
Nats,280,260,0,35,0
Nats,230,210,0,25,10
Akash,220,0,0,20,15
Prateek,210,0,0,30,55
Akash,210,0,230,10,15
Akash,200,0,220,20,25
Prateek,210,0,210,20,85
Nats,230,210,0,30,10
Nats,0,195,0,30,70
Prateek,0,230,210,10,10
Nats,0,210,0,30,50
Akash,0,250,270,20,0
Akash,0,230,280,40,0
Prateek,220,0,0,35,95
Prateek,0,0,210,40,20
Akash,210,0,0,45,10
Akash,210,0,0,15,30
Akash,0,260,280,20,0
Prateek,0,0,210,25,45
Nats,0,210,0,0,120
Nats,0,210,210,30,120
Akash,0,220,0,30,10
Akash,0,210,230,25,10
Nats,230,210,0,30,10
Prateek,210,0,0,30,25
Akash,0,200,220,10,25
