Bidder,Prateek,Nats,Akash,Discard,Margin
Akash,0,200,220,0,45
Akash,210,0,0,40,25
Prateek,0,220,0,25,10
Prateek,0,0,200,5,85
Nats,210,0,210,20,175
Nats,210,0,0,15,40
Akash,200,0,220,20,10
Prateek,0,210,0,25,20
Prateek,0,200,0,20,45
Akash,200,200,0,40,120
Prateek,0,0,200,30,30
Prateek,0,220,0,30,90
Nats,260,280,0,10,0
Akash,195,0,215,25,20
Akash,210,0,0,50,0
Nats,0,0,220,25,20
Nats,0,0,200,15,50
Akash,0,200,0,50,30
Prateek,0,0,220,50,30
Akash,0,195,0,25,50
Prateek,0,0,200,35,20
Akash,200,200,0,30,85
Nats,0,0,200,15,40
Nats,0,0,200,30,25
Akash,0,250,270,15,0
Prateek,0,0,200,25,40
Nats,200,0,200,20,140
Prateek,220,0,200,15,25
Prateek,0,195,0,50,50
Akash,210,210,0,20,35
Prateek,220,0,200,20,10
Prateek,0,0,210,35,10
Nats,250,270,0,20,0
Prateek,230,210,0,20,10
Akash,210,0,0,10,120
Nats,0,220,200,25,20
Akash,0,210,0,10,50
Nats,0,0,195,60,35
Akash,0,210,230,15,20
Nats,195,0,0,50,100
Akash,0,210,0,50,20
Nats,195,0,195,20,155
Prateek,240,0,220,15,10
Prateek,0,0,200,20,60
Nats,210,230,0,15,20
Nats,0,0,210,20,30
Akash,200,0,0,20,45
Akash,200,0,0,40,20
Akash,200,200,0,15,165
Prateek,270,0,250,30,0
Nats,195,0,0,25,45
Akash,250,0,270,20,0
Akash,0,200,0,20,75
Prateek,270,0,250,35,0
Akash,0,260,280,20,0
Prateek,240,0,220,20,10
Nats,195,0,0,50,10
Prateek,0,200,0,25,35
Prateek,0,200,200,25,105
Akash,0,210,230,5,10
