Bidder,Nats,Prateek,Akash,Discard,Margin
Prateek,0,270,250,40,0
Prateek,0,220,200,40,10
Nats,0,210,0,25,20
Nats,0,0,200,30,30
Akash,0,195,0,15,55
Nats,270,0,250,35,0
Nats,0,0,200,25,20
Akash,0,220,240,20,10
Prateek,195,0,0,10,70
Prateek,195,0,0,40,35
Prateek,0,215,195,20,30
Prateek,195,215,0,10,10
Prateek,0,0,200,50,10
Prateek,250,270,0,20,0
Prateek,210,0,210,25,150
Nats,0,0,210,30,40
Prateek,210,0,0,30,45
Prateek,0,0,210,25,75
Akash,0,200,220,15,30
Prateek,0,0,200,30,35
Prateek,200,0,0,30,60
Akash,0,250,270,30,0
Akash,200,200,0,20,105
Nats,0,195,0,25,80
Akash,0,210,0,30,25
Prateek,200,0,0,40,60
Prateek,200,220,0,20,20
Prateek,250,270,0,30,0
Prateek,0,220,200,10,30
Akash,0,270,290,20,0
Nats,0,195,0,20,40
Prateek,200,0,200,50,100
Prateek,200,0,200,50,150
Akash,200,0,0,30,25
Nats,220,200,0,10,10
Nats,215,0,195,10,40
Akash,0,200,0,30,55
Akash,0,210,0,30,25
Prateek,200,220,0,20,10
Nats,0,195,195,50,180
Akash,200,0,220,10,30
Prateek,200,0,0,35,40
Akash,220,220,0,50,150
Prateek,0,0,220,30,35
Akash,195,195,0,40,135
Nats,0,0,210,30,25
Nats,220,200,0,10,40
Akash,230,230,0,45,0
Nats,240,0,220,10,10
Akash,210,0,0,25,45
Akash,220,0,0,45,30
Prateek,0,0,230,50,0
Nats,215,195,0,20,35
Prateek,0,270,250,20,0
