Bidder,Prateek,Nats,Akash,Discard,Margin
Nats,210,0,210,30,100
Nats,0,280,260,25,0
Nats,250,270,0,45,0
Prateek,0,0,200,35,35
Prateek,0,200,200,30,125
Nats,0,280,260,15,0
Nats,0,0,200,20,65
Nats,0,220,200,20,20
Nats,200,0,0,20,40
Prateek,0,0,195,30,60
Nats,0,0,195,20,65
Prateek,0,0,200,50,40
Prateek,0,195,0,15,70
Akash,190,190,0,30,135
Prateek,270,0,250,50,0
Prateek,210,0,190,25,30
Akash,190,0,210,10,35
Prateek,0,195,195,50,65
Akash,190,0,210,15,40
Prateek,0,195,0,30,40
Akash,0,190,210,20,20
Akash,195,195,0,30,80
Nats,0,215,195,30,20
Nats,220,0,0,20,50
Nats,195,215,0,20,10
Nats,260,280,0,10,0
Nats,195,215,0,25,20
Akash,0,190,210,30,20
Nats,220,0,0,20,25
Prateek,0,195,195,50,175
Akash,0,195,0,35,60
Prateek,0,190,190,25,120
Prateek,265,0,245,25,0
Akash,195,195,0,20,80
Akash,190,0,0,50,30
Prateek,0,0,195,15,90
Nats,195,0,0,50,30
Nats,0,210,190,30,30
Prateek,210,190,0,20,30
Akash,230,0,0,20,10
Nats,0,0,190,15,65
Nats,0,280,260,20,0
Prateek,210,190,0,25,30
Prateek,265,0,245,20,0
Prateek,270,250,0,40,0
Akash,200,0,220,20,10
Akash,0,190,210,10,35
Prateek,0,220,0,45,30
Nats,0,215,195,5,45
Prateek,280,260,0,15,0
Prateek,0,0,195,30,65
Akash,190,0,0,40,95
Nats,195,215,0,20,30
Prateek,220,0,200,30,10
Akash,0,190,210,30,25
Prateek,0,210,0,30,20
Nats,0,220,200,10,10
Prateek,280,0,260,10,0
Nats,0,0,190,40,45
Nats,245,265,0,15,0
Prateek,220,0,200,20,30
Akash,190,190,0,25,120
Akash,0,240,260,25,0
Nats,0,0,200,50,65
Akash,190,0,0,50,35
Akash,245,0,265,15,0
Prateek,210,0,190,15,30
Nats,195,215,0,15,10
Prateek,0,0,195,30,55
Nats,0,265,245,15,0
Akash,0,195,215,15,40
Akash,0,190,0,10,75
Prateek,220,200,0,30,0
Prateek,0,0,200,30,40
Prateek,0,0,200,30,35
Nats,0,0,185,25,50
Nats,260,280,0,35,0
Akash,0,210,230,15,20
Prateek,280,0,260,15,0
Nats,0,280,260,30,0
Nats,190,0,0,30,40
Nats,195,0,0,20,70
Akash,195,0,215,20,15
Akash,0,195,0,15,50
Nats,210,0,210,30,40
Nats,195,0,195,60,105
Prateek,0,0,200,35,25
Nats,0,255,235,20,0
Prateek,230,210,0,25,10
Prateek,280,260,0,25,0
Akash,0,210,0,40,10
Prateek,220,200,0,10,30
Nats,210,230,0,10,20
Prateek,210,0,190,20,10
Akash,210,0,230,15,10
Prateek,0,195,195,25,130
Akash,200,0,0,40,20
Nats,0,0,210,30,15
Nats,200,0,200,10,105
Prateek,0,0,190,30,40
Akash,190,0,210,20,30
Nats,0,0,190,10,55
Nats,0,0,190,50,30
Prateek,0,220,220,20,70
Akash,0,210,0,45,0
Akash,210,0,230,20,10
Akash,200,0,0,40,40
Akash,0,200,220,15,10
Akash,200,200,0,45,55
Prateek,280,0,260,20,0
Nats,0,300,280,10,0
Akash,0,250,270,50,0
Akash,220,0,0,20,50
Prateek,0,0,200,20,35
