Bidder,Nats,Skanda,Akash,Discard,Margin
Akash,0,185,205,20,45
Akash,0,195,215,20,25
Skanda,270,290,0,15,0
Akash,200,0,220,20,30
Nats,0,200,200,25,150
Akash,0,195,215,25,10
Skanda,0,0,195,10,75
Akash,220,220,0,45,155
Akash,200,200,0,50,40
Nats,0,0,195,10,65
Skanda,195,0,0,20,65
Nats,0,0,195,30,110
Skanda,0,0,200,15,50
Akash,220,220,0,20,15
Skanda,0,210,190,20,30
Skanda,210,0,210,30,100
Skanda,0,260,240,10,0
Akash,210,0,0,30,45
Akash,0,190,0,20,90
Nats,0,0,190,30,85
Skanda,0,0,200,30,45
Nats,0,230,230,30,80
Akash,0,195,215,10,55
Skanda,200,10,0,20,85
Skanda,195,215,0,15,10
Skanda,0,210,190,10,30
Akash,190,0,0,20,50
Skanda,0,0,195,25,50
Skanda,200,0,0,35,50
Akash,0,240,260,45,0
Nats,280,260,0,15,0
Skanda,0,210,190,10,10t
